01100,北海道,札幌市,ｻｯﾎﾟﾛｼ
01202,北海道,函館市,ﾊｺﾀﾞﾃｼ
01203,北海道,小樽市,ｵﾀﾙｼ
01204,北海道,旭川市,ｱｻﾋｶﾜｼ
01205,北海道,室蘭市,ﾑﾛﾗﾝｼ
01206,北海道,釧路市,ｸｼﾛｼ
01207,北海道,帯広市,ｵﾋﾞﾋﾛｼ
01208,北海道,北見市,ｷﾀﾐｼ
01209,北海道,夕張市,ﾕｳﾊﾞﾘｼ
01210,北海道,岩見沢市,ｲﾜﾐｻﾞﾜｼ
01211,北海道,網走市,ｱﾊﾞｼﾘｼ
01212,北海道,留萌市,ﾙﾓｲｼ
01213,北海道,苫小牧市,ﾄﾏｺﾏｲｼ
01214,北海道,稚内市,ﾜｯｶﾅｲｼ
01215,北海道,美唄市,ﾋﾞﾊﾞｲｼ
01216,北海道,芦別市,ｱｼﾍﾞﾂｼ
01217,北海道,江別市,ｴﾍﾞﾂｼ
01218,北海道,赤平市,ｱｶﾋﾞﾗｼ
01219,北海道,紋別市,ﾓﾝﾍﾞﾂｼ
01220,北海道,士別市,ｼﾍﾞﾂｼ
01221,北海道,名寄市,ﾅﾖﾛｼ
01222,北海道,三笠市,ﾐｶｻｼ
01223,北海道,根室市,ﾈﾑﾛｼ
01224,北海道,千歳市,ﾁﾄｾｼ
01225,北海道,滝川市,ﾀｷｶﾜｼ
01226,北海道,砂川市,ｽﾅｶﾞﾜｼ
01227,北海道,歌志内市,ｳﾀｼﾅｲｼ
01228,北海道,深川市,ﾌｶｶﾞﾜｼ
01229,北海道,富良野市,ﾌﾗﾉｼ
01230,北海道,登別市,ﾉﾎﾞﾘﾍﾞﾂｼ
01231,北海道,恵庭市,ｴﾆﾜｼ
01233,北海道,伊達市,ﾀﾞﾃｼ
01234,北海道,北広島市,ｷﾀﾋﾛｼﾏｼ
01235,北海道,石狩市,ｲｼｶﾘｼ
01236,北海道,北斗市,ﾎｸﾄｼ
01303,北海道,当別町,ﾄｳﾍﾞﾂﾁｮｳ
01304,北海道,新篠津村,ｼﾝｼﾉﾂﾑﾗ
01331,北海道,松前町,ﾏﾂﾏｴﾁｮｳ
01332,北海道,福島町,ﾌｸｼﾏﾁｮｳ
01333,北海道,知内町,ｼﾘｳﾁﾁｮｳ
01334,北海道,木古内町,ｷｺﾅｲﾁｮｳ
01337,北海道,七飯町,ﾅﾅｴﾁｮｳ
01343,北海道,鹿部町,ｼｶﾍﾞﾁｮｳ
01345,北海道,森町,ﾓﾘﾏﾁ
01346,北海道,八雲町,ﾔｸﾓﾁｮｳ
01347,北海道,長万部町,ｵｼｬﾏﾝﾍﾞﾁｮｳ
01361,北海道,江差町,ｴｻｼﾁｮｳ
01362,北海道,上ノ国町,ｶﾐﾉｸﾆﾁｮｳ
01363,北海道,厚沢部町,ｱｯｻﾌﾞﾁｮｳ
01364,北海道,乙部町,ｵﾄﾍﾞﾁｮｳ
